Rk,Player,Pos,Squad,Comp,90s,CPA
1,Vinicius Júnior\7111d552,FW,Real Madrid,es La Liga,29.9,101
2,Kylian Mbappé\42fd9c7f,FW,Paris S-G,fr Ligue 1,33.6,90
3,Jack Grealish\b0b4fd3e,FW,Manchester City,eng Premier League,21.3,88
4,Gerard Deulofeu\39583cfd,FWMF,Udinese,it Serie A,29.1,76
5,Mohamed Salah\e342ad68,FW,Liverpool,eng Premier League,30.7,71
6,Rafael Leão\20730eae,FW,Milan,it Serie A,28.9,70
7,Bukayo Saka\bc7dc64d,FWMF,Arsenal,eng Premier League,33.1,61
8,Álvaro García\90bbd822,FW,Rayo Vallecano,es La Liga,33.3,58
9,Iago Aspas\7dcf86f6,FW,Celta Vigo,es La Liga,34.3,55
10,José Luis Morales\4a478107,FWMF,Levante,es La Liga,30.2,55
11,Sadio Mané\c691bfe2,FW,Liverpool,eng Premier League,31.3,54
12,Son Heung-min\92e7e919,FWMF,Tottenham,eng Premier League,33.4,53
13,Allan Saint-Maximin\2b16cb1a,FWMF,Newcastle Utd,eng Premier League,31.2,53
14,Yannick Carrasco\de39485a,DFMF,Atlético Madrid,es La Liga,28.7,52
15,Nabil Fekir\bece776f,MF,Betis,es La Liga,31.0,52
16,Jadon Sancho\dbf053da,FWMF,Manchester Utd,eng Premier League,21.1,52
17,Raheem Sterling\b400bde0,FW,Manchester City,eng Premier League,23.6,52
18,Wilfried Zaha\b2bc3b1f,FW,Crystal Palace,eng Premier League,30.7,51
19,Felipe Anderson\9f1893b9,FW,Lazio,it Serie A,32.1,48
20,Gianluca Caprari\54e53b7e,FWMF,Hellas Verona,it Serie A,30.4,48
21,Moses Simon\5f3eaaf5,FWMF,Nantes,fr Ligue 1,25.9,48
22,Ollie Watkins\aed3a70f,FW,Aston Villa,eng Premier League,32.8,47
23,Karim Benzema\70d74ece,FW,Real Madrid,es La Liga,28.8,46
24,Denis Bouanga\0b0cbe5b,FWMF,Saint-Étienne,fr Ligue 1,27.1,46
25,Iñaki Williams\6a99e0b1,FW,Athletic Club,es La Liga,30.9,46
26,Emmanuel Dennis\2c44a35d,FWMF,Watford,eng Premier League,28.7,45
27,Harvey Barnes\3ea50f67,FWMF,Leicester City,eng Premier League,23.3,43
28,Ousmane Dembélé\b19db005,FW,Barcelona,es La Liga,15.7,43
29,Ivan Perišić\6fe90922,DF,Inter,it Serie A,31.3,43
30,Lorenzo Insigne\2f557579,FW,Napoli,it Serie A,25.4,42
31,Karim Onisiwo\f26834c7,FW,Mainz 05,de Bundesliga,26.2,42
32,Wissam Ben Yedder\942b4f90,FW,Monaco,fr Ligue 1,28.1,41
33,Samuel Chukwueze\b8a642fc,MFFW,Villarreal,es La Liga,14.8,41
34,Memphis Depay\8f696594,FW,Barcelona,es La Liga,20.6,41
35,Luis Rioja\eb3dd471,FWMF,Alavés,es La Liga,34.6,41
36,Serge Gnabry\88e357ef,FWDF,Bayern Munich,de Bundesliga,24.3,40
37,Franck Honorat\db7849ca,MFFW,Brest,fr Ligue 1,32.2,40
38,Leandro Trossard\38ceb24a,FWMF,Brighton,eng Premier League,31.2,40
39,Moussa Diaby\aeed5c06,FWMF,Leverkusen,de Bundesliga,30.7,39
40,Hamed Junior Traorè\570bb4b9,FWMF,Sassuolo,it Serie A,19.7,39
41,Christopher Nkunku\7c56da38,FWMF,RB Leipzig,de Bundesliga,30.3,39
42,Bernardo Silva\3eb22ec9,MFFW,Manchester City,eng Premier League,31.7,39
43,Alphonso Davies\d781d855,DF,Bayern Munich,de Bundesliga,19.3,38
44,Randal Kolo Muani\c0b3669f,FWMF,Nantes,fr Ligue 1,32.8,38
45,Martinelli\48a5a5d6,FWMF,Arsenal,eng Premier League,20.7,38
46,Kyle Walker-Peters\984a5a64,DF,Southampton,eng Premier League,29.3,38
47,Jodel Dossou\a1dbfcb1,FW,Clermont Foot,fr Ligue 1,22.3,37
48,Matteo Politano\5e861944,FW,Napoli,it Serie A,18.3,37
49,Rodrygo\8f5e92a6,FW,Real Madrid,es La Liga,16.2,37
50,Cengiz Ünder\1880614f,FWMF,Marseille,fr Ligue 1,24.4,37
51,Mattia Zaccagni\d85c238b,FW,Lazio,it Serie A,20.8,37
52,Filip Kostić\b1cd37e6,DFFW,Eint Frankfurt,de Bundesliga,28.0,36
53,Hirving Lozano\a69e4806,FW,Napoli,it Serie A,17.9,36
54,Riyad Mahrez\892d5bb1,FW,Manchester City,eng Premier League,16.6,36
55,João Cancelo\bd6351cd,DF,Manchester City,eng Premier League,35.9,35
56,Kingsley Coman\042e8a49,FWDF,Bayern Munich,de Bundesliga,15.1,35
57,Phil Foden\ed1e53f3,FW,Manchester City,eng Premier League,23.6,35
58,Darko Lazović\5128bde4,DF,Hellas Verona,it Serie A,30.7,35
59,Cristiano Ronaldo\dea698d9,FW,Manchester Utd,eng Premier League,27.3,35
60,Martin Terrier\5148dcc5,FWMF,Rennes,fr Ligue 1,30.9,35
61,Domenico Berardi\53a0e358,FW,Sassuolo,it Serie A,31.3,34
62,Arnaut Groeneveld\f08490a6,FW,Villarreal,es La Liga,16.4,34
