Rk,Player,Pos,Squad,Comp,90s,1/3
1,João Cancelo\bd6351cd,DF,Manchester City,eng Premier League,35.9,138
2,Vinicius Júnior\7111d552,FW,Real Madrid,es La Liga,29.9,116
3,Lionel Messi\d70ce98e,FWMF,Paris S-G,fr Ligue 1,23.9,113
4,Kylian Mbappé\42fd9c7f,FW,Paris S-G,fr Ligue 1,33.6,111
5,Bernardo Silva\3eb22ec9,MFFW,Manchester City,eng Premier League,31.7,108
6,Rafael Leão\20730eae,FW,Milan,it Serie A,28.9,98
7,Francisco Garcia\7226539b,DF,Rayo Vallecano,es La Liga,33.6,97
8,Seko Fofana\5313ed43,MF,Lens,fr Ligue 1,37.3,95
9,Antonio Candreva\356c9002,MFFW,Sampdoria,it Serie A,34.7,93
10,Declan Rice\1c7012b8,MF,West Ham,eng Premier League,35.3,92
11,Luis Alberto\5294a83f,MF,Lazio,it Serie A,26.1,91
12,Javi Galán\a4b00319,DF,Celta Vigo,es La Liga,36.6,89
13,Nicolò Barella\6928979a,MF,Inter,it Serie A,32.4,87
14,Gianluca Caprari\54e53b7e,FWMF,Hellas Verona,it Serie A,30.4,85
15,Gerard Deulofeu\39583cfd,FWMF,Udinese,it Serie A,29.1,85
16,Nabil Fekir\bece776f,MF,Betis,es La Liga,31.0,84
17,Mattéo Guendouzi\5ea8ef20,MF,Marseille,fr Ligue 1,35.0,84
18,Neymar\69384e5d,FWMF,Paris S-G,fr Ligue 1,20.6,84
19,Iker Muniain\c05dfb74,MF,Athletic Club,es La Liga,30.9,83
20,Allan Saint-Maximin\2b16cb1a,FWMF,Newcastle Utd,eng Premier League,31.2,83
21,Sergio Canales\a6de370d,FWMF,Betis,es La Liga,31.0,82
22,Kevin De Bruyne\e46012d4,MF,Manchester City,eng Premier League,24.5,81
23,Giovanni Di Lorenzo\230a2fac,DF,Napoli,it Serie A,31.9,81
24,Serge Gnabry\88e357ef,FWDF,Bayern Munich,de Bundesliga,24.3,81
25,Denis Suárez\12c50af5,MF,Celta Vigo,es La Liga,31.3,81
26,Federico Valverde\0959c2a2,MF,Real Madrid,es La Liga,20.4,81
27,Franck Honorat\db7849ca,MFFW,Brest,fr Ligue 1,32.2,80
28,Mason Mount\9674002f,MFFW,Chelsea,eng Premier League,26.3,80
29,Felipe Anderson\9f1893b9,FW,Lazio,it Serie A,32.1,79
30,Alphonso Davies\d781d855,DF,Bayern Munich,de Bundesliga,19.3,79
31,Gonçalo Guedes\e6bc67d7,FWMF,Valencia,es La Liga,29.0,78
32,Houssem Aouar\a5db0bec,MFFW,Lyon,fr Ligue 1,27.8,77
33,Johan Mojica\608f2092,DF,Elche,es La Liga,31.7,77
34,Wilfried Zaha\b2bc3b1f,FW,Crystal Palace,eng Premier League,30.7,77
35,Jeremie Frimpong\74f2e748,DF,Leverkusen,de Bundesliga,22.8,76
36,Bruno Fernandes\507c7bdf,MF,Manchester Utd,eng Premier League,34.6,75
37,Joël Matip\b217ef29,DF,Liverpool,eng Premier League,31.0,75
38,Pedro\3ca7254a,FW,Lazio,it Serie A,22.6,75
39,Marco Verratti\1467af0d,MF,Paris S-G,fr Ligue 1,21.5,75
40,Kyle Walker-Peters\984a5a64,DF,Southampton,eng Premier League,29.3,75
41,Jadon Sancho\dbf053da,FWMF,Manchester Utd,eng Premier League,21.1,74
42,Sergi Darder\070a3904,MF,Espanyol,es La Liga,34.7,73
43,Amine Gouiri\aad56ca3,FWMF,Nice,fr Ligue 1,30.6,73
44,Theo Hernández\d4c9725f,DF,Milan,it Serie A,30.1,73
45,Lovro Majer\fc46aab1,MF,Rennes,fr Ligue 1,20.4,73
46,Luis Rioja\eb3dd471,FWMF,Alavés,es La Liga,34.6,72
47,Ousmane Dembélé\b19db005,FW,Barcelona,es La Liga,15.7,70
48,Romain Faivre\745ca0a3,MF,Brest,fr Ligue 1,19.9,70
49,Andrew Robertson\2e4f5f03,DF,Liverpool,eng Premier League,28.2,70
50,Caio Henrique Oliveira Silva\30af8b93,DF,Monaco,fr Ligue 1,29.6,70
51,Jonathan Clauss\5219ab4a,DF,Lens,fr Ligue 1,33.8,69
52,Papu Gómez\6e4df551,MFFW,Sevilla,es La Liga,19.8,69
53,Jack Grealish\b0b4fd3e,FW,Manchester City,eng Premier League,21.3,69
54,Saša Lukić\c6e8cf1f,MF,Torino,it Serie A,33.1,69
55,Dwight McNeil\fc15fb84,MF,Burnley,eng Premier League,34.5,69
56,Dimitri Payet\58ae47b2,FWMF,Marseille,fr Ligue 1,28.8,69
57,Giacomo Bonaventura\d995ed27,MF,Fiorentina,it Serie A,25.2,68
58,Petar Stojanović\13b44b02,DF,Empoli,it Serie A,30.4,68
59,Ivan Perišić\6fe90922,DF,Inter,it Serie A,31.3,67
60,Trent Alexander-Arnold\cd1acf9d,DF,Liverpool,eng Premier League,31.7,66
61,Antonín Barák\01efac19,FWMF,Hellas Verona,it Serie A,26.0,66
62,Cheick Doucouré\ce4f40c7,MF,Lens,fr Ligue 1,32.7,66
63,Son Heung-min\92e7e919,FWMF,Tottenham,eng Premier League,33.4,66
64,Lorenzo Insigne\2f557579,FW,Napoli,it Serie A,25.4,66
65,Frenkie de Jong\1bacc518,MF,Barcelona,es La Liga,27.5,66
66,Maxime Lopez\20094685,MF,Sassuolo,it Serie A,32.6,66
67,Bukayo Saka\bc7dc64d,FWMF,Arsenal,eng Premier League,33.1,66
68,Sofiane Boufal\b0c71810,FWMF,Angers,fr Ligue 1,25.9,65
69,Ángel Di María\19cda00b,FW,Paris S-G,fr Ligue 1,18.3,65
70,Brais Méndez\c9e39d91,MF,Celta Vigo,es La Liga,33.6,65
71,Hakan Çalhanoğlu\cd0fa27b,MF,Inter,it Serie A,27.6,64
72,Marc Cucurella\1daec722,DF,Brighton,eng Premier League,34.3,64
73,Hamari Traoré\a4b1028a,DF,Rennes,fr Ligue 1,32.1,64
74,Iago Aspas\7dcf86f6,FW,Celta Vigo,es La Liga,34.3,63
75,Moussa Diaby\aeed5c06,FWMF,Leverkusen,de Bundesliga,30.7,63
76,Antonio Rüdiger\18b896d6,DF,Chelsea,eng Premier League,33.7,63
77,Akim Zedadka\0ff630d0,DF,Clermont Foot,fr Ligue 1,37.1,63
78,Martin Ødegaard\79300479,MF,Arsenal,eng Premier League,30.9,63
79,Thomas Delaine\8332db56,DF,Metz,fr Ligue 1,25.7,62
80,Angelo Fulgini\4b96c347,MFFW,Angers,fr Ligue 1,32.5,62
81,Karim Benzema\70d74ece,FW,Real Madrid,es La Liga,28.8,61
82,Ben Davies\44781702,DF,Tottenham,eng Premier League,28.2,61
83,Reece James\1265a93a,DF,Chelsea,eng Premier League,20.7,61
84,Aymeric Laporte\119b9a8e,DF,Manchester City,eng Premier League,31.4,61
85,Fabián Ruiz Peña\c0c7ff58,MF,Napoli,it Serie A,26.5,61
86,Leroy Sané\2b114be3,FWMF,Bayern Munich,de Bundesliga,22.0,61
87,Szymon Żurkowski\4e1d5e59,MF,Empoli,it Serie A,25.6,61
88,Jonathan Bamba\b2bd0f6c,MFFW,Lille,fr Ligue 1,27.0,60
89,Cristiano Biraghi\9e1577aa,DF,Fiorentina,it Serie A,35.0,60
90,Ryad Boudebouz\1001ae82,MFFW,Saint-Étienne,fr Ligue 1,25.0,60
91,Davide Frattesi\2a7d27c1,MF,Sassuolo,it Serie A,31.7,60
92,Mateo Kovačić\79c0821a,MF,Chelsea,eng Premier League,17.3,60
93,Armand Lauriente\2d22cea7,FWMF,Lorient,fr Ligue 1,27.5,60
94,Jacob Ramsey\1544f145,MF,Aston Villa,eng Premier League,27.4,60
95,Danilo Soares\c05f2f8c,DF,Bochum,de Bundesliga,28.5,60
96,Borna Sosa\af0d79a9,DF,Stuttgart,de Bundesliga,27.8,60
97,Khéphren Thuram-Ulie\7d9397f8,MF,Nice,fr Ligue 1,21.1,60
98,Sofiane Diop\19053e31,MFFW,Monaco,fr Ligue 1,21.6,59
99,Nicolás González\2374aaca,FW,Fiorentina,it Serie A,26.2,59
100,Jordan Henderson\935e6b8f,MF,Liverpool,eng Premier League,28.9,59
101,Sadio Mané\c691bfe2,FW,Liverpool,eng Premier League,31.3,59
102,Ferland Mendy\3cefcaef,DF,Real Madrid,es La Liga,19.3,59
103,Mathías Olivera\41c12f75,DF,Getafe,es La Liga,31.1,59
104,Roberto Soriano\9d4c45d6,MFFW,Bologna,it Serie A,29.1,59
105,Florian Wirtz\e7fcf289,MFFW,Leverkusen,de Bundesliga,20.6,59
106,Harvey Barnes\3ea50f67,FWMF,Leicester City,eng Premier League,23.3,58
107,Juan Cuadrado\0ab1f153,DFMF,Juventus,it Serie A,27.6,58
108,Stuart Dallas\67ca8566,DFMF,Leeds United,eng Premier League,32.4,58
109,Remo Freuler\98d2c2c4,MF,Atalanta,it Serie A,26.3,58
110,Demarai Gray\4468ec10,MFFW,Everton,eng Premier League,26.0,58
111,Christian Günter\8593f88c,DF,Freiburg,de Bundesliga,34.0,58
112,Darko Lazović\5128bde4,DF,Hellas Verona,it Serie A,30.7,58
113,José Luis Morales\4a478107,FWMF,Levante,es La Liga,30.2,58
114,Álex Moreno\16e9d0ea,DF,Betis,es La Liga,26.7,58
115,Gavi Paez\19cae58d,MFFW,Barcelona,es La Liga,25.7,58
116,Pedrosa\112521d1,DF,Espanyol,es La Liga,30.2,58
117,Benno Schmitz\ad00b1a8,DF,Köln,de Bundesliga,26.9,58
118,Domenico Berardi\53a0e358,FW,Sassuolo,it Serie A,31.3,57
119,Marcelo Brozović\33b8d077,MF,Inter,it Serie A,32.6,57
120,Yannick Carrasco\de39485a,DFMF,Atlético Madrid,es La Liga,28.7,57
121,Jack Harrison\aa849a12,FWMF,Leeds United,eng Premier League,29.3,57
122,Luan Peres Petroni\a5549ec1,DF,Marseille,fr Ligue 1,29.8,57
123,Marco Reus\36a3ff67,MFFW,Dortmund,de Bundesliga,27.8,57
124,Nicolò Zaniolo\9907b1c8,FW,Roma,it Serie A,21.9,57
125,Manuel Lazzari\02caf6e0,DF,Lazio,it Serie A,18.5,56
126,Henrikh Mkhitaryan\dd0daf32,MFFW,Roma,it Serie A,27.7,56
127,Moses Simon\5f3eaaf5,FWMF,Nantes,fr Ligue 1,25.9,56
128,Josip Brekalo\d4a2533d,FWMF,Torino,it Serie A,25.4,55
129,Kiernan Dewsbury Hall\5c74c0f5,MF,Leicester City,eng Premier League,23.4,55
130,Martin Terrier\5148dcc5,FWMF,Rennes,fr Ligue 1,30.9,55
131,Jean-Ricner Bellegarde\10f0fdd3,MF,Strasbourg,fr Ligue 1,25.9,54
132,Ludovic Blas\6191093d,MFFW,Nantes,fr Ligue 1,32.9,54
133,Jimmy Cabot\46359159,DF,Angers,fr Ligue 1,22.3,54
134,Frederic Guilbert\5d8d7454,DF,Strasbourg,fr Ligue 1,28.0,54
135,Rominigue Kouamé\86a2ba20,MF,Troyes,fr Ligue 1,33.0,54
136,Thomas Müller\3c6089ab,MF,Bayern Munich,de Bundesliga,28.4,54
137,Emile Smith Rowe\17695062,MFFW,Arsenal,eng Premier League,21.3,54
138,Óscar Trejo\fc647b34,MF,Rayo Vallecano,es La Liga,22.3,54
139,Davide Zappacosta\7fe90ccd,DF,Atalanta,it Serie A,26.1,54
140,Max Aarons\774cf58b,DF,Norwich City,eng Premier League,32.0,53
141,Mahdi Camara\8577e60a,MFDF,Saint-Étienne,fr Ligue 1,34.1,53
142,Jean-Kevin Duverne\0cbc8baa,DF,Brest,fr Ligue 1,33.4,53
143,Jonathan Gradit\06c48679,DF,Lens,fr Ligue 1,34.1,53
144,Hamed Junior Traorè\570bb4b9,FWMF,Sassuolo,it Serie A,19.7,53
145,N'Golo Kanté\b9fbae28,MF,Chelsea,eng Premier League,19.7,53
146,Justin Kluivert\4c3a6744,MF,Nice,fr Ligue 1,20.8,53
147,Ghislain Konan\6b2c894b,DF,Reims,fr Ligue 1,26.9,53
148,Pape Matar Sarr\feb5d972,MF,Metz,fr Ligue 1,23.7,53
149,Roberto Pereyra\75f2c59f,MFFW,Udinese,it Serie A,19.9,53
150,Melvin Bard\1ddbc7ca,DF,Nice,fr Ligue 1,28.8,52
151,Issa Kaboré\c066d1a5,DF,Troyes,fr Ligue 1,25.0,52
152,Vincent Le Goff\2321ea6e,DF,Lorient,fr Ligue 1,34.0,52
153,Sergej Milinković-Savić\4e6dbac4,MF,Lazio,it Serie A,34.4,52
154,Lucas Moura\2b622f01,FWMF,Tottenham,eng Premier League,19.7,52
155,Emerson Palmieri\e0bc6fdc,DF,Lyon,fr Ligue 1,25.2,52
156,Charlie Taylor\cc2d7ad5,DF,Burnley,eng Premier League,30.3,52
157,Adrien Truffert\5d0e0a1f,DF,Rennes,fr Ligue 1,18.2,52
158,Marcos Acuña\81442ecb,DF,Sevilla,es La Liga,25.1,51
159,Musa Barrow\e5bf73f3,FWMF,Bologna,it Serie A,23.7,51
160,Zeki Çelik\31a62dc7,DF,Lille,fr Ligue 1,30.0,51
161,Ilan Kebbal\37d04e90,MFFW,Reims,fr Ligue 1,19.7,51
162,Valentino Livramento\afed6722,DF,Southampton,eng Premier League,24.5,51
163,Álvaro Morata\129af0db,FW,Juventus,it Serie A,25.6,51
164,Ricardo Rodríguez\7f78ad23,DF,Torino,it Serie A,27.5,51
165,Nélson Semedo\d04b94db,DF,Wolves,eng Premier League,23.7,51
166,Luke Shaw\9c94165b,DF,Manchester Utd,eng Premier League,17.8,51
167,Jordan Ayew\da052c14,FW,Crystal Palace,eng Premier League,22.4,50
168,Rodrigo De Paul\162efffd,MF,Atlético Madrid,es La Liga,23.9,50
169,Pablo Fornals\82927de4,FWMF,West Ham,eng Premier League,31.1,50
170,Vincenzo Grifo\54e4866f,MFFW,Freiburg,de Bundesliga,30.8,50
171,Raphaël Guerreiro\048a1cbc,DF,Dortmund,de Bundesliga,19.9,50
172,Filip Kostić\b1cd37e6,DFFW,Eint Frankfurt,de Bundesliga,28.0,50
173,Mert Müldür\1295552e,DF,Sassuolo,it Serie A,22.7,50
174,Wilfried Singo\8b609c34,DF,Torino,it Serie A,29.0,50
175,Riccardo Sottil\94816803,FW,Fiorentina,it Serie A,13.8,50
176,Marco Asensio\45af8a54,FWMF,Real Madrid,es La Liga,19.2,49
177,Raoul Bellanova\e3756e72,DF,Cagliari,it Serie A,27.7,49
178,Jude Bellingham\57d88cf9,MF,Dortmund,de Bundesliga,31.0,49
179,Ruben Loftus-Cheek\e97fd090,MFDF,Chelsea,eng Premier League,15.5,49
180,Ruslan Malinovskyi\48d5bd33,FWMF,Atalanta,it Serie A,17.7,49
181,Vital N'Simba\249ac66d,DF,Clermont Foot,fr Ligue 1,31.0,49
182,Álvaro Odriozola\1d1691ad,DF,Fiorentina,it Serie A,19.3,49
183,Daniel Podence\7fcc71d8,FWMF,Wolves,eng Premier League,16.5,49
184,Oriol Romeu\4b511457,MF,Southampton,eng Premier League,32.1,49
185,Riccardo Saponara\3bb7af3b,FW,Fiorentina,it Serie A,14.3,49
186,David Silva\e2716bd0,MF,Real Sociedad,es La Liga,19.1,49
187,Leandro Trossard\38ceb24a,FWMF,Brighton,eng Premier League,31.2,49
188,Yacine Adli\26777636,MFFW,Bordeaux,fr Ligue 1,25.1,48
189,Iván Balliu\cee88597,DF,Rayo Vallecano,es La Liga,35.0,48
190,Brahim Díaz\407feb71,MF,Milan,it Serie A,20.6,48
191,Federico Dimarco\970b8574,DF,Inter,it Serie A,15.9,48
192,Rubén García\5c96b017,FWMF,Osasuna,es La Liga,26.4,48
193,İlkay Gündoğan\819b3158,MF,Manchester City,eng Premier League,20.6,48
194,Daichi Kamada\15b287da,MFFW,Eint Frankfurt,de Bundesliga,23.8,48
195,Harry Kane\21a66f6a,FW,Tottenham,eng Premier League,35.9,48
196,Fabiano Parisi\0967845b,DF,Empoli,it Serie A,16.4,48
197,Tommaso Pobega\55a1cac2,MF,Torino,it Serie A,24.9,48
198,Nathan Redmond\ab651565,MFFW,Southampton,eng Premier League,20.4,48
199,Mërgim Vojvoda\be2706c0,DF,Torino,it Serie A,22.0,48
200,Thiago Alcántara\77e84962,MF,Liverpool,eng Premier League,17.0,47
201,Jim Allevinah\1956b948,FW,Clermont Foot,fr Ligue 1,16.5,47
202,Stuart Armstrong\97333cf5,MF,Southampton,eng Premier League,16.4,47
203,Benjamin Bourigeaud\20e73fac,FWMF,Rennes,fr Ligue 1,35.5,47
204,Aaron Cresswell\4f974391,DF,West Ham,eng Premier League,30.3,47
205,Alfonso Espino\db001fa9,DF,Cádiz,es La Liga,37.0,47
206,Ivan Ilić\bb376bed,MF,Hellas Verona,it Serie A,28.1,47
207,Randal Kolo Muani\c0b3669f,FWMF,Nantes,fr Ligue 1,32.8,47
208,Pablo Maffeo\5db04597,DF,Mallorca,es La Liga,32.7,47
209,Jean-Victor Makengo\22bfb57e,MF,Udinese,it Serie A,26.1,47
210,Răzvan Marin\7fac99d4,MF,Cagliari,it Serie A,31.3,47
211,Scott McTominay\d93c2511,MF,Manchester Utd,eng Premier League,26.5,47
212,Lucas Paquetá\9b6f7fd5,MFFW,Lyon,fr Ligue 1,30.0,47
213,Milot Rashica\6c6a3300,FWMF,Norwich City,eng Premier League,24.8,47
214,Rogério\10e7f486,DF,Sassuolo,it Serie A,19.2,47
215,Florian Sotoca\7a42d0df,FWMF,Lens,fr Ligue 1,27.6,47
216,Piotr Zieliński\a5296e55,MF,Napoli,it Serie A,23.2,47
217,Nedim Bajrami\f42d6c13,MFFW,Empoli,it Serie A,22.8,46
218,Filippo Bandinelli\d44360be,MF,Empoli,it Serie A,21.7,46
219,Elif Elmas\cf007308,FWMF,Napoli,it Serie A,18.0,46
220,Fidel\eb82b6f1,MFFW,Elche,es La Liga,25.1,46
221,Przemysław Frankowski\00a8d210,DF,Lens,fr Ligue 1,27.2,46
222,Gerson\8827bf46,MFFW,Marseille,fr Ligue 1,28.3,46
223,Bruno Guimarães\82518f62,MF,Lyon,fr Ligue 1,18.2,46
224,Malo Gusto\d56b9520,DF,Lyon,fr Ligue 1,20.9,46
225,Andrej Kramarić\603cb947,FWMF,Hoffenheim,de Bundesliga,30.1,46
226,Giulio Maggiore\957e4c87,MF,Spezia,it Serie A,31.3,46
227,Christopher Nkunku\7c56da38,FWMF,RB Leipzig,de Bundesliga,30.3,46
228,Arnaud Nordin\7b9a9e25,FWMF,Saint-Étienne,fr Ligue 1,20.8,46
229,Alfonso Pedraza\63f04c6c,DF,Villarreal,es La Liga,18.9,46
230,Dani Rodríguez\70f8e0bd,MFFW,Mallorca,es La Liga,31.5,46
231,Sheraldo Becker\8eb55dbb,FWMF,Union Berlin,de Bundesliga,19.5,45
232,Anthony Gordon\2bd83368,MFFW,Everton,eng Premier League,25.4,45
233,Aaron Hickey\1780bb4a,DF,Bologna,it Serie A,31.3,45
234,Rick Karsdorp\9f84febe,DF,Roma,it Serie A,32.0,45
235,Lorenzo Pellegrini\4a5a45c7,MFFW,Roma,it Serie A,25.4,45
236,Adrien Rabiot\8794e251,MF,Juventus,it Serie A,25.4,45
237,Franck Ribéry\f61c7c4e,MFFW,Salernitana,it Serie A,15.8,45
238,Alexis Saelemaekers\ee251371,FW,Milan,it Serie A,20.7,45
239,Cengiz Ünder\1880614f,FWMF,Marseille,fr Ligue 1,24.4,45
240,Mattia Zaccagni\d85c238b,FW,Lazio,it Serie A,20.8,45
241,David Alaba\05439de2,DF,Real Madrid,es La Liga,29.4,44
242,Jordi Alba\4601e194,DF,Barcelona,es La Liga,29.4,44
243,Matty Cash\2389cdc2,DF,Aston Villa,eng Premier League,37.5,44
244,Philippe Coutinho\0ef89a37,MFFW,Aston Villa,eng Premier League,14.8,44
245,Mohamed Elyounoussi\68dc0dac,MFFW,Southampton,eng Premier League,22.7,44
246,Romain Faivre\745ca0a3,FWMF,Lyon,fr Ligue 1,9.9,44
247,Jordan Ferri\375622c5,MF,Montpellier,fr Ligue 1,32.3,44
248,Joško Gvardiol\5ad50391,DF,RB Leipzig,de Bundesliga,26.8,44
249,Adnan Januzaj\4737cebe,FWMF,Real Sociedad,es La Liga,18.1,44
250,Enzo Le Fée\6f806d99,MFFW,Lorient,fr Ligue 1,24.4,44
251,Javi Puado\2683eda7,FWMF,Espanyol,es La Liga,24.9,44
252,Rodri\6434f10d,MF,Manchester City,eng Premier League,32.0,44
253,Ismaila Sarr\bfdb33aa,FWMF,Watford,eng Premier League,20.7,44
254,Alex Telles\e73c9bb2,DF,Manchester Utd,eng Premier League,18.4,44
255,Ruben Aguilar\3dd738a1,DF,Monaco,fr Ligue 1,23.8,43
256,Bebé\d8712bf9,FWMF,Rayo Vallecano,es La Liga,9.6,43
257,Álex Berenguer\dc1c2fce,MFFW,Athletic Club,es La Liga,24.1,43
258,Bartosz Bereszyński\61b3978f,DF,Sampdoria,it Serie A,32.7,43
259,Andrea Cambiaso\247ed022,DF,Genoa,it Serie A,19.9,43
260,Emmanuel Dennis\2c44a35d,FWMF,Watford,eng Premier League,28.7,43
261,Aleksandr Golovin\3708e9fa,FWMF,Monaco,fr Ligue 1,16.7,43
262,Joshua Kimmich\49296448,MF,Bayern Munich,de Bundesliga,27.5,43
263,Óscar de Marcos\9f323c71,DF,Athletic Club,es La Liga,18.7,43
264,Valentin Rongier\ed45c4a5,DFMF,Marseille,fr Ligue 1,24.4,43
265,Alexander Sørloth\e92cd3f7,FW,Real Sociedad,es La Liga,19.6,43
266,Dani Alves\c9e99e49,DF,Barcelona,es La Liga,12.2,42
267,Farid Boulaya\a0791826,MFFW,Metz,fr Ligue 1,17.0,42
268,Emi Buendía\66b76d44,FWMF,Aston Villa,eng Premier League,21.1,42
269,Adri Embarba\db8f0eba,FWMF,Espanyol,es La Liga,22.1,42
270,Youssouf Fofana\822d51d7,MF,Monaco,fr Ligue 1,24.3,42
271,Álvaro García\90bbd822,FW,Rayo Vallecano,es La Liga,33.3,42
272,Giorgos Kyriakopoulos\0a483542,DFFW,Sassuolo,it Serie A,21.9,42
273,Thomas Meunier\e162b013,DF,Dortmund,de Bundesliga,15.6,42
274,Luka Modrić\6025fab1,MF,Real Madrid,es La Liga,22.6,42
275,Nahitan Nández\95facda1,MFDF,Cagliari,it Serie A,16.9,42
276,Jesús Navas\3f10bd22,DF,Sevilla,es La Liga,19.8,42
