Rk,Player,Pos,Squad,Comp,Age,90s,Ast,xA,KP,PPA
1,João Cancelo\bd6351cd,DF,Manchester City,eng Premier League,27,35.9,7,5.1,39,95
2,Lionel Messi\d70ce98e,FWMF,Paris S-G,fr Ligue 1,34,23.9,14,8.0,63,90
3,Trent Alexander-Arnold\cd1acf9d,DF,Liverpool,eng Premier League,22,31.7,12,11.2,89,89
4,Benjamin Bourigeaud\20e73fac,FWMF,Rennes,fr Ligue 1,27,35.5,12,13.2,121,88
5,Bruno Fernandes\507c7bdf,MF,Manchester Utd,eng Premier League,26,34.6,6,8.4,88,85
6,Karim Benzema\70d74ece,FW,Real Madrid,es La Liga,33,28.8,12,9.5,61,84
7,Nicolò Barella\6928979a,MF,Inter,it Serie A,24,32.4,11,7.9,60,80
8,Gerard Deulofeu\39583cfd,FWMF,Udinese,it Serie A,27,29.1,5,7.0,79,80
9,David Raum\7d450ed3,DF,Hoffenheim,de Bundesliga,23,30.6,11,10.1,80,75
10,Antonio Candreva\356c9002,MFFW,Sampdoria,it Serie A,34,34.7,10,6.7,76,72
11,Iker Muniain\c05dfb74,MF,Athletic Club,es La Liga,28,30.9,10,9.5,108,72
12,Dimitri Payet\58ae47b2,FWMF,Marseille,fr Ligue 1,34,28.8,10,10.5,101,70
13,Serge Gnabry\88e357ef,FWDF,Bayern Munich,de Bundesliga,26,24.3,5,6.7,48,68
14,Kevin De Bruyne\e46012d4,MF,Manchester City,eng Premier League,30,24.5,8,9.5,88,67
15,Vinicius Júnior\7111d552,FW,Real Madrid,es La Liga,21,29.9,10,7.8,69,67
16,Gianluca Caprari\54e53b7e,FWMF,Hellas Verona,it Serie A,28,30.4,7,6.8,66,66
17,Thomas Müller\3c6089ab,MF,Bayern Munich,de Bundesliga,31,28.4,18,11.3,72,66
18,Petar Stojanović\13b44b02,DF,Empoli,it Serie A,25,30.4,1,3.4,35,65
19,Wilfried Zaha\b2bc3b1f,FW,Crystal Palace,eng Premier League,28,30.7,1,4.8,44,65
20,Martin Ødegaard\79300479,MF,Arsenal,eng Premier League,22,30.9,4,6.8,76,65
21,Jordi Alba\4601e194,DF,Barcelona,es La Liga,32,29.4,10,5.9,58,64
22,Felipe Anderson\9f1893b9,FW,Lazio,it Serie A,28,32.1,8,6.9,52,64
23,Cristiano Biraghi\9e1577aa,DF,Fiorentina,it Serie A,28,35.0,1,5.8,70,64
24,Vincenzo Grifo\54e4866f,MFFW,Freiburg,de Bundesliga,28,30.8,7,7.0,63,64
25,Filip Kostić\b1cd37e6,DFFW,Eint Frankfurt,de Bundesliga,28,28.0,9,9.8,89,64
26,Sergio Canales\a6de370d,FWMF,Betis,es La Liga,30,31.0,8,5.1,62,62
27,Moussa Diaby\aeed5c06,FWMF,Leverkusen,de Bundesliga,22,30.7,12,9.1,61,61
28,Ivan Perišić\6fe90922,DF,Inter,it Serie A,32,31.3,6,8.0,60,61
29,Mohamed Salah\e342ad68,FW,Liverpool,eng Premier League,29,30.7,13,10.4,61,61
30,Jonathan Clauss\5219ab4a,DF,Lens,fr Ligue 1,28,33.8,11,7.2,76,60
31,Davide Faraoni\aae9d04a,DF,Hellas Verona,it Serie A,29,28.6,5,2.9,21,60
32,Rick Karsdorp\9f84febe,DF,Roma,it Serie A,26,32.0,2,4.9,41,60
33,Kylian Mbappé\42fd9c7f,FW,Paris S-G,fr Ligue 1,22,33.6,18,12.4,70,60
34,Christopher Nkunku\7c56da38,FWMF,RB Leipzig,de Bundesliga,23,30.3,13,10.0,63,58
35,Borna Sosa\af0d79a9,DF,Stuttgart,de Bundesliga,23,27.8,8,5.9,61,58
36,Leandro Trossard\38ceb24a,FWMF,Brighton,eng Premier League,26,31.2,3,4.1,46,58
37,Angeliño\30941e96,DF,RB Leipzig,de Bundesliga,24,25.5,5,5.9,51,57
38,Domenico Berardi\53a0e358,FW,Sassuolo,it Serie A,26,31.3,14,8.5,77,57
39,Joshua Kimmich\49296448,MF,Bayern Munich,de Bundesliga,26,27.5,9,9.2,83,55
40,Raheem Sterling\b400bde0,FW,Manchester City,eng Premier League,26,23.6,5,4.6,41,55
41,Darko Lazović\5128bde4,DF,Hellas Verona,it Serie A,30,30.7,7,5.7,44,54
42,Sadio Mané\c691bfe2,FW,Liverpool,eng Premier League,29,31.3,2,4.4,36,54
