Rk,Player,Pos,Squad,Comp,90s,Ast,xA,KP,1/3
1,Aymeric Laporte\119b9a8e,DF,Manchester City,eng Premier League,31.4,0,0.5,9,316
2,Toni Kroos\6ce1f46f,MF,Real Madrid,es La Liga,23.4,3,3.5,50,269
3,João Cancelo\bd6351cd,DF,Manchester City,eng Premier League,35.9,7,5.1,39,266
4,Sergio Busquets\5ab0ea87,MF,Barcelona,es La Liga,35.5,0,1.9,33,260
5,Declan Rice\1c7012b8,MF,West Ham,eng Premier League,35.3,4,2.0,24,242
6,Rodri\6434f10d,MF,Manchester City,eng Premier League,32.0,2,1.4,25,242
7,Jordi Alba\4601e194,DF,Barcelona,es La Liga,29.4,10,5.9,58,231
8,Trent Alexander-Arnold\cd1acf9d,DF,Liverpool,eng Premier League,31.7,12,11.2,89,231
9,Pierre Højbjerg\8b04d6c1,MF,Tottenham,eng Premier League,35.5,2,2.5,30,227
10,Bryan Cristante\16657b95,MF,Roma,it Serie A,29.8,0,1.6,21,224
11,Maxime Lopez\20094685,MF,Sassuolo,it Serie A,32.6,1,2.9,48,223
12,Marcelo Brozović\33b8d077,MF,Inter,it Serie A,32.6,1,1.8,33,222
13,Daniel Parejo\7460ca0d,MF,Villarreal,es La Liga,30.0,10,6.6,69,222
14,Mattéo Guendouzi\5ea8ef20,MF,Marseille,fr Ligue 1,35.0,6,3.5,36,220
15,Antonio Rüdiger\18b896d6,DF,Chelsea,eng Premier League,33.7,0,1.1,13,220
16,Joshua Kimmich\49296448,MF,Bayern Munich,de Bundesliga,27.5,9,9.2,83,218
17,Jordan Ferri\375622c5,MF,Montpellier,fr Ligue 1,32.3,2,2.6,29,215
18,Luis Alberto\5294a83f,MF,Lazio,it Serie A,26.1,9,7.8,63,206
19,Johan Gastien\868eaba0,MF,Clermont Foot,fr Ligue 1,30.5,1,2.1,26,203
20,Thiago Alcántara\77e84962,MF,Liverpool,eng Premier League,17.0,4,2.3,28,199
21,Pedro Chirivella\68a26d51,MF,Nantes,fr Ligue 1,29.3,1,1.3,25,198
22,Joël Matip\b217ef29,DF,Liverpool,eng Premier League,31.0,3,1.2,11,196
23,Rúben Neves\44bfb6c5,MF,Wolves,eng Premier League,29.6,2,2.2,23,196
24,Jonathan Gradit\06c48679,DF,Lens,fr Ligue 1,34.1,0,1.3,13,193
25,Lionel Messi\d70ce98e,FWMF,Paris S-G,fr Ligue 1,23.9,14,8.0,63,193
26,Thiago Silva\86e7deaf,DF,Chelsea,eng Premier League,29.4,0,0.2,7,192
27,Cheick Doucouré\ce4f40c7,MF,Lens,fr Ligue 1,32.7,4,3.1,38,187
28,Jordan Henderson\935e6b8f,MF,Liverpool,eng Premier League,28.9,5,3.8,38,187
29,William Saliba\972aeb2a,DF,Marseille,fr Ligue 1,36.0,0,0.8,6,184
30,Dayot Upamecano\d248cd8f,DF,Bayern Munich,de Bundesliga,24.6,6,1.4,10,184
31,Boubacar Kamara\cc77354e,MFDF,Marseille,fr Ligue 1,30.9,0,1.4,19,183
32,Fabián Ruiz Peña\c0c7ff58,MF,Napoli,it Serie A,26.5,4,2.8,36,183
33,Rúben Dias\31c69ef1,DF,Manchester City,eng Premier League,26.7,4,2.4,12,182
34,Casemiro\4d224fe8,MF,Real Madrid,es La Liga,28.5,3,2.6,24,181
35,Sergi Darder\070a3904,MF,Espanyol,es La Liga,34.7,9,4.9,41,176
36,Benjamin Pavard\45a03961,DF,Bayern Munich,de Bundesliga,23.1,1,1.7,18,175
37,Kyle Walker\86dd77d1,DF,Manchester City,eng Premier League,19.5,2,1.2,13,175
38,Luka Modrić\6025fab1,MF,Real Madrid,es La Liga,22.6,8,4.2,38,174
39,Florian Tardieu\ed39121c,MF,Troyes,fr Ligue 1,29.2,2,3.1,49,174
40,Lucas Hernández\c3ee18ef,DF,Bayern Munich,de Bundesliga,22.6,1,0.8,10,173
41,Marco Verratti\1467af0d,MF,Paris S-G,fr Ligue 1,21.5,2,2.7,29,173
42,Pau Torres\532e1e4f,DF,Villarreal,es La Liga,31.7,1,1.1,8,172
43,John McGinn\90f91999,MF,Aston Villa,eng Premier League,34.3,4,4.9,53,171
44,Facundo Medina\6f5ec8bb,DF,Lens,fr Ligue 1,28.8,0,0.3,5,171
45,Virgil van Dijk\e06683ca,DF,Liverpool,eng Premier League,34.0,1,0.4,6,169
46,Aurélien Tchouaméni\4f255115,MF,Monaco,fr Ligue 1,32.5,2,2.8,22,169
47,Jean-Clair Todibo\88f130ed,DF,Nice,fr Ligue 1,34.6,0,0.8,14,169
48,Denis Suárez\12c50af5,MF,Celta Vigo,es La Liga,31.3,6,4.8,46,167
49,Joško Gvardiol\5ad50391,DF,RB Leipzig,de Bundesliga,26.8,2,1.8,11,165
50,Koke\55126f3b,MF,Atlético Madrid,es La Liga,27.9,2,1.9,26,165
51,Sergej Milinković-Savić\4e6dbac4,MF,Lazio,it Serie A,34.4,10,6.0,53,165
52,Youri Tielemans\56f7a928,MF,Leicester City,eng Premier League,29.2,4,4.9,40,164
53,James Ward-Prowse\3515d404,MF,Southampton,eng Premier League,35.7,5,6.2,70,164
54,Jorginho\45db685d,MF,Chelsea,eng Premier League,25.3,2,2.8,25,160
55,Granit Xhaka\e61b8aee,MFDF,Arsenal,eng Premier League,25.9,2,2.3,35,160
56,Joachim Andersen\e34fc66d,DF,Crystal Palace,eng Premier League,32.4,3,2.0,20,159
57,Eric García\2bed3eab,DF,Barcelona,es La Liga,22.7,0,0.2,5,158
58,Presnel Kimpembe\aef6e670,DF,Paris S-G,fr Ligue 1,28.6,0,0.1,3,157
59,Mikel Merino\d080ed5e,MF,Real Sociedad,es La Liga,32.1,2,3.5,27,157
60,Bruno Fernandes\507c7bdf,MF,Manchester Utd,eng Premier League,34.6,6,8.4,88,155
61,Remo Freuler\98d2c2c4,MF,Atalanta,it Serie A,26.3,3,1.8,24,155
62,Frenkie de Jong\1bacc518,MF,Barcelona,es La Liga,27.5,3,3.1,40,154
63,Rodrigo De Paul\162efffd,MF,Atlético Madrid,es La Liga,23.9,1,4.1,52,153
64,Walace\26db8853,MF,Udinese,it Serie A,33.0,0,2.1,26,151
65,Romain Saïss\9fbbcf39,DF,Wolves,eng Premier League,30.1,0,0.4,6,150
66,Bruno Guimarães\82518f62,MF,Lyon,fr Ligue 1,18.2,3,3.8,33,149
67,Mohammed Salisu\0b33f6ad,DF,Southampton,eng Premier League,33.0,0,0.5,8,149
68,Téji Savanier\6bde367b,MF,Montpellier,fr Ligue 1,26.8,7,6.0,59,149
69,Nicolò Barella\6928979a,MF,Inter,it Serie A,32.4,11,7.9,60,148
70,Hakan Çalhanoğlu\cd0fa27b,MF,Inter,it Serie A,27.6,12,8.3,91,148
71,Sergio Canales\a6de370d,FWMF,Betis,es La Liga,31.0,8,5.1,62,148
