Rk,Player,Pos,Squad,Comp,Prog,-9999
1,Kylian Mbappé,FW,Paris S-G,fr Ligue 1,445,42fd9c7f
2,Iñaki Williams,FW,Athletic Club,es La Liga,369,6a99e0b1
3,Mohamed Salah,FW,Liverpool,eng Premier League,367,e342ad68
4,Sadio Mané,FW,Liverpool,eng Premier League,356,c691bfe2
5,Christopher Nkunku,FWMF,RB Leipzig,de Bundesliga,345,7c56da38
6,Iago Aspas,FW,Celta Vigo,es La Liga,326,7dcf86f6
7,Vinicius Júnior,FW,Real Madrid,es La Liga,316,7111d552
8,Thomas Müller,MF,Bayern Munich,de Bundesliga,307,3c6089ab
9,Robert Lewandowski,FW,Bayern Munich,de Bundesliga,301,8d78e732
10,Giovanni Simeone,FW,Hellas Verona,it Serie A,294,343c0d52
11,Harry Kane,FW,Tottenham,eng Premier League,289,21a66f6a
12,Ciro Immobile,FW,Lazio,it Serie A,281,4431aed2
13,Lucas Paquetá,MFFW,Lyon,fr Ligue 1,276,9b6f7fd5
14,Marko Arnautović,FW,Bologna,it Serie A,275,00459419
15,Andrea Pinamonti,FW,Empoli,it Serie A,274,08aa9cd1
16,Wissam Ben Yedder,FW,Monaco,fr Ligue 1,270,942b4f90
17,Bryan Mbeumo,FW,Brentford,eng Premier League,266,6afaebf2
18,Michail Antonio,FW,West Ham,eng Premier League,264,ac05f970
19,Gianluca Caprari,FWMF,Hellas Verona,it Serie A,261,54e53b7e
20,Andrej Kramarić,FWMF,Hoffenheim,de Bundesliga,261,603cb947
21,Ollie Watkins,FW,Aston Villa,eng Premier League,258,aed3a70f
22,Ludovic Ajorque,FW,Strasbourg,fr Ligue 1,257,462475ed
23,Edin Džeko,FW,Inter,it Serie A,257,3bb7f478
24,Son Heung-min,FWMF,Tottenham,eng Premier League,256,92e7e919
25,Karim Onisiwo,FW,Mainz 05,de Bundesliga,256,f26834c7
26,Kévin Gameiro,FW,Strasbourg,fr Ligue 1,247,42276181
27,Martin Terrier,FWMF,Rennes,fr Ligue 1,246,5148dcc5
28,Memphis Depay,FW,Barcelona,es La Liga,244,8f696594
29,Giacomo Raspadori,MFFW,Sassuolo,it Serie A,244,6e058f06
30,Duván Zapata,FW,Atalanta,it Serie A,241,d3de9af0
31,Mason Mount,MFFW,Chelsea,eng Premier League,240,9674002f
32,Francesco Caputo,FW,Sampdoria,it Serie A,239,5bd72174
33,Raheem Sterling,FW,Manchester City,eng Premier League,234,b400bde0
34,Amine Gouiri,FWMF,Nice,fr Ligue 1,233,aad56ca3
35,Bukayo Saka,FWMF,Arsenal,eng Premier League,233,bc7dc64d
36,Wilfried Zaha,FW,Crystal Palace,eng Premier League,233,b2bc3b1f
37,Álvaro García,FW,Rayo Vallecano,es La Liga,232,90bbd822
38,Domenico Berardi,FW,Sassuolo,it Serie A,231,53a0e358
39,Tammy Abraham,FW,Roma,it Serie A,230,f586779e
40,Lucas Höler,FWMF,Freiburg,de Bundesliga,230,ca618d23
41,Nabil Fekir,MF,Betis,es La Liga,228,bece776f
42,Kevin Volland,MFFW,Monaco,fr Ligue 1,228,64f69877
43,Diogo Jota,FW,Liverpool,eng Premier League,227,178ae8f8
44,Arnaud Kalimuendo,FW,Lens,fr Ligue 1,227,bf4c41f9
45,Gaëtan Laborde,FW,Rennes,fr Ligue 1,227,7cdda3bf
46,Seko Fofana,MF,Lens,fr Ligue 1,225,5313ed43
47,Luis Muriel,FW,Atalanta,it Serie A,224,eb2fe5b6
48,Teemu Pukki,FW,Norwich City,eng Premier League,224,0745b37d
49,Moussa Diaby,FWMF,Leverkusen,de Bundesliga,223,aeed5c06
50,João Pedro,FW,Cagliari,it Serie A,222,81255c03
51,Karim Benzema,FW,Real Madrid,es La Liga,219,70d74ece
52,Cristiano Ronaldo,FW,Manchester Utd,eng Premier League,218,dea698d9
53,Leroy Sané,FWMF,Bayern Munich,de Bundesliga,218,2b114be3
54,André Silva,FW,RB Leipzig,de Bundesliga,218,3effaa34
55,Rafael Borré,FW,Eint Frankfurt,de Bundesliga,217,c68da769
56,Angelo Fulgini,MFFW,Angers,fr Ligue 1,217,4b96c347
57,Franck Honorat,MFFW,Brest,fr Ligue 1,217,db7849ca
58,Jonathan Burkardt,FWMF,Mainz 05,de Bundesliga,216,05f99a4a
59,Luis Javier Suárez,FW,Granada,es La Liga,215,eeba07f8
60,Neal Maupay,FW,Brighton,eng Premier League,214,4bcf39f6
61,Bernardo Silva,MFFW,Manchester City,eng Premier League,213,3eb22ec9
62,Jonathan David,FW,Lille,fr Ligue 1,212,ce50fd99
63,Andy Delort,FW,Nice,fr Ligue 1,211,d33c706e
64,Gonçalo Guedes,FWMF,Valencia,es La Liga,211,e6bc67d7
65,Kai Havertz,FWMF,Chelsea,eng Premier League,211,fed7cb61
66,Moussa Dembélé,FW,Lyon,fr Ligue 1,210,e7986081
67,José Luis Morales,FWMF,Levante,es La Liga,210,4a478107
68,Randal Kolo Muani,FWMF,Nantes,fr Ligue 1,209,c0b3669f
69,Marco Reus,MFFW,Dortmund,de Bundesliga,208,36a3ff67
70,Serge Gnabry,FWDF,Bayern Munich,de Bundesliga,207,88e357ef
71,Breel Embolo,FWMF,M'Gladbach,de Bundesliga,206,0b4f388a
72,Denis Bouanga,FWMF,Saint-Étienne,fr Ligue 1,205,0b0cbe5b
73,Ivan Toney,FW,Brentford,eng Premier League,205,e09f279b
74,Neymar,FWMF,Paris S-G,fr Ligue 1,204,69384e5d
75,Sergej Milinković-Savić,MF,Lazio,it Serie A,203,4e6dbac4
76,Florian Sotoca,FWMF,Lens,fr Ligue 1,203,7a42d0df
77,Leandro Trossard,FWMF,Brighton,eng Premier League,203,38ceb24a
78,Bruno Fernandes,MF,Manchester Utd,eng Premier League,202,507c7bdf
79,Karl Toko Ekambi,FW,Lyon,fr Ligue 1,201,5ceba7fc
80,Nicolás González,FW,Fiorentina,it Serie A,200,2374aaca
81,Ludovic Blas,MFFW,Nantes,fr Ligue 1,196,6191093d
82,Gerard Deulofeu,FWMF,Udinese,it Serie A,196,39583cfd
83,Lautaro Martínez,FW,Inter,it Serie A,196,f7036e1c
84,Alassane Pléa,FWMF,M'Gladbach,de Bundesliga,196,bc6bd723
85,Benjamin Bourigeaud,FWMF,Rennes,fr Ligue 1,195,20e73fac
86,Jack Grealish,FW,Manchester City,eng Premier League,194,b0b4fd3e
87,Cengiz Ünder,FWMF,Marseille,fr Ligue 1,194,1880614f
88,Raúl Jiménez,FW,Wolves,eng Premier League,193,b561db50
89,Victor Osimhen,FW,Napoli,it Serie A,192,8c90fd7a
90,Dimitri Payet,FWMF,Marseille,fr Ligue 1,192,58ae47b2
91,Jarrod Bowen,FW,West Ham,eng Premier League,191,79c84d1c
92,Lorenzo Pellegrini,MFFW,Roma,it Serie A,191,4a5a45c7
93,Raphinha,FWMF,Leeds United,eng Premier League,191,3423f250
94,Rodrigo,MFFW,Leeds United,eng Premier League,191,1fb1c435
