Player,Pos,Squad,Comp,npxG,-9999
Robert Lewandowski,FW,Bayern Munich,de Bundesliga,28.9,8d78e732
Kylian Mbappé,FW,Paris S-G,fr Ligue 1,20.3,42fd9c7f
Tammy Abraham,FW,Roma,it Serie A,18.3,f586779e
Harry Kane,FW,Tottenham,eng Premier League,17.1,21a66f6a
Mohamed Salah,FW,Liverpool,eng Premier League,17.0,e342ad68
Sadio Mané,FW,Liverpool,eng Premier League,16.7,c691bfe2
Anthony Modeste,FW,Köln,de Bundesliga,16.5,34e4343c
Son Heung-min,FWMF,Tottenham,eng Premier League,16.4,92e7e919
Patrik Schick,FW,Leverkusen,de Bundesliga,16.3,5d4f7d61
Diogo Jota,FW,Liverpool,eng Premier League,16.1,178ae8f8
Lautaro Martínez,FW,Inter,it Serie A,15.5,f7036e1c
Ciro Immobile,FW,Lazio,it Serie A,15.4,4431aed2
Karim Benzema,FW,Real Madrid,es La Liga,15.2,70d74ece
Moussa Dembélé,FW,Lyon,fr Ligue 1,15.1,e7986081
Cristiano Ronaldo,FW,Manchester Utd,eng Premier League,14.2,dea698d9
Christopher Nkunku,FWMF,RB Leipzig,de Bundesliga,14.1,7c56da38
Gaëtan Laborde,FW,Rennes,fr Ligue 1,13.7,7cdda3bf
Iñaki Williams,FW,Athletic Club,es La Liga,13.4,6a99e0b1
Jonathan Burkardt,FWMF,Mainz 05,de Bundesliga,13.2,05f99a4a
Edin Džeko,FW,Inter,it Serie A,13.2,3bb7f478
Vinicius Júnior,FW,Real Madrid,es La Liga,13.1,7111d552
Erling Haaland,FW,Dortmund,de Bundesliga,13.0,1f44ac21
Marko Arnautović,FW,Bologna,it Serie A,12.5,00459419
Andy Delort,FW,Nice,fr Ligue 1,12.5,d33c706e
Taiwo Awoniyi,FW,Union Berlin,de Bundesliga,12.4,e5478b87
Martin Terrier,FWMF,Rennes,fr Ligue 1,12.1,5148dcc5
Raheem Sterling,FW,Manchester City,eng Premier League,12.0,b400bde0
Jonathan David,FW,Lille,fr Ligue 1,11.8,ce50fd99
Juanmi,FW,Betis,es La Liga,11.8,84399660
Kévin Gameiro,FW,Strasbourg,fr Ligue 1,11.7,42276181
